,report_date,unique_id,quantity,average_unit_cost,market_rate,symbol_name,symbol_code_input,fund_id,instrument_type,symbol_code,expiry_date
33,2022-06-17,ONGC22JUNFUT,246400.0,148.451151876094,142.0,Oil and Natural Gas Corporation Ltd - 30/06/2022,FUT15787,TB1,FUTURES,ONGC,30/06/2022
34,2022-06-17,PERSISTENT22JUNFUT,1500.0,3199.802704836,3196.45,Persistent Systems Ltd - 30/06/2022,FUT15675,TB1,FUTURES,PERSISTENT,30/06/2022
35,2022-06-17,POWERGRID22JUNFUT,53330.0,224.950941455454,212.05,Power Grid Corporation of India Ltd - 30/06/2022,FUT15702,TB1,FUTURES,POWERGRID,30/06/2022
36,2022-06-17,RELIANCE22JUNFUT,34750.0,2554.907828699352,2591.95,Reliance Industries Ltd - 30/06/2022,FUT15774,TB1,FUTURES,RELIANCE,30/06/2022
37,2022-06-17,SBICARD22JUNFUT,12500.0,777.6166801572,688.0,SBI Cards and Payment Services - 30/06/2022,FUT15806,TB1,FUTURES,SBICARD,30/06/2022
38,2022-06-17,SBILIFE22JUNFUT,30000.0,1086.790776399231,1085.55,SBI Life Insurance Company Ltd - 30/06/2022,FUT15761,TB1,FUTURES,SBILIFE,30/06/2022
39,2022-06-17,SHREECEM22JUNFUT,1475.0,18372.64168057176,18106.65,Shree Cements - 30/06/2022,FUT15670,TB1,FUTURES,SHREECEM,30/06/2022
40,2022-06-17,SRTRANSFIN22JUNFUT,16400.0,1168.380156211464,1137.2,Shriram Transport Finance Co Ltd - 30/06/2022,FUT15827,TB1,FUTURES,SRTRANSFIN,30/06/2022
41,2022-06-17,SUNPHARMA22JUNFUT,40600.0,894.26720036531,795.8,Sun Pharmaceuticals Industries Ltd - 30/06/2022,FUT15696,TB1,FUTURES,SUNPHARMA,30/06/2022
42,2022-06-17,SYNGENE22JUNFUT,45900.0,537.405448695556,537.1,Syngene International Ltd -IPO  - 30/06/2022,FUT15690,TB1,FUTURES,SYNGENE,30/06/2022
43,2022-06-17,TATAMOTORS22JUNFUT,216600.0,409.988109432715,390.1,TATA Motors Right Issue - 30/06/2022,FUT15703,TB1,FUTURES,TATAMOTORS,30/06/2022
44,2022-06-17,TATACONSUM22JUNFUT,88425.0,703.569265988572,713.55,Tata Consumer Products Ltd - 30/06/2022,FUT15778,TB1,FUTURES,TATACONSUM,30/06/2022
45,2022-06-17,TATASTEEL22JUNFUT,124525.0,981.212019490034,907.2,Tata Steel Ltd - 30/06/2022,FUT15783,TB1,FUTURES,TATASTEEL,30/06/2022
46,2022-06-17,TECHM22JUNFUT,78000.0,1111.048463138914,967.3,Tech Mahindra Ltd - 30/06/2022,FUT15760,TB1,FUTURES,TECHM,30/06/2022
47,2022-06-17,TITAN22JUNFUT,21000.0,2087.041292176071,1942.35,Titan Company Ltd - 30/06/2022,FUT15775,TB1,FUTURES,TITAN,30/06/2022
48,2022-06-17,TORNTPOWER22JUNFUT,90000.0,434.2602004745,462.6,Torrent Power Ltd - 30/06/2022,FUT15704,TB1,FUTURES,TORNTPOWER,30/06/2022
49,2022-06-17,UPL22JUNFUT,10400.0,737.28288135,665.7,UPL Ltd - 30/06/2022,FUT15791,TB1,FUTURES,UPL,30/06/2022
50,2022-06-17,ULTRACEMCO22JUNFUT,8100.0,5908.771490801353,5190.95,Ultratech Cement Ltd - 30/06/2022,FUT15676,TB1,FUTURES,ULTRACEMCO,30/06/2022
51,2022-06-17,MCDOWELL-N22JUNFUT,32500.0,747.416987157115,732.7,United Spirits Ltd - 30/06/2022,FUT15833,TB1,FUTURES,MCDOWELL-N,30/06/2022
52,2022-06-17,APLLTD22JUNFUT,-32900.0,734.848943547872,721.15,Alembic Pharmaceuticals Ltd - 30/06/2022,FUT15683,TB1,FUTURES,APLLTD,30/06/2022
53,2022-06-17,ALKEM22JUNFUT,-11000.0,3102.267318710182,3080.25,Alkem Laboratories Ltd - 30/06/2022,FUT15753,TB1,FUTURES,ALKEM,30/06/2022
54,2022-06-17,ASHOKLEY22JUNFUT,-216000.0,139.363238246667,131.9,Ashok Leyland Ltd - 30/06/2022,FUT15694,TB1,FUTURES,ASHOKLEY,30/06/2022
55,2022-06-17,AXISBANK22JUNFUT,-74400.0,671.377669749535,635.95,Axis Bank Ltd - 30/06/2022,FUT15691,TB1,FUTURES,AXISBANK,30/06/2022
56,2022-06-17,BSOFT22JUNFUT,-81900.0,360.760966331746,331.7,BIRLASOFT LIMITED NEW EQ RS. - 30/06/2022,FUT15854,TB1,FUTURES,BSOFT,30/06/2022
57,2022-06-17,BAJAJFINSV22JUNFUT,-1700.0,12163.80076314,11772.25,Bajaj Finserv Limited - 30/06/2022,FUT15708,TB1,FUTURES,BAJAJFINSV,30/06/2022
58,2022-06-17,BANDHANBNK22JUNFUT,-28800.0,328.59191644,310.8,Bandhan Bank Ltd - 30/06/2022,FUT15825,TB1,FUTURES,BANDHANBNK,30/06/2022
59,2022-06-17,BEL22JUNFUT,-38000.0,238.734126996,235.5,Bharat Electronics Ltd - 30/06/2022,FUT15843,TB1,FUTURES,BEL,30/06/2022
60,2022-06-17,CHOLAFIN22JUNFUT,-13750.0,668.710822036364,635.15,Cholamandalam Investments and Finance Ltd - 30/06/2022,FUT15798,TB1,FUTURES,CHOLAFIN,30/06/2022
61,2022-06-17,CIPLA22JUNFUT,-1950.0,962.87631266,917.5,Cipla Ltd - 30/06/2022,FUT15712,TB1,FUTURES,CIPLA,30/06/2022
62,2022-06-17,COALINDIA22JUNFUT,-12600.0,193.499406464167,181.7,Coal India Ltd - 30/06/2022,FUT15773,TB1,FUTURES,COALINDIA,30/06/2022
63,2022-06-17,COLPAL22JUNFUT,-6300.0,1515.773822157778,1483.05,Colgate Palmolive India Ltd - 30/06/2022,FUT15751,TB1,FUTURES,COLPAL,30/06/2022
64,2022-06-17,COROMANDEL22JUNFUT,-10000.0,949.073527216875,921.95,Coromandel International Ltd NCD - 30/06/2022,FUT15677,TB1,FUTURES,COROMANDEL,30/06/2022
65,2022-06-17,DRREDDY22JUNFUT,-13000.0,4320.655132979011,4142.45,Dr. Reddys Laboratories Ltd - 30/06/2022,FUT15686,TB1,FUTURES,DRREDDY,30/06/2022
66,2022-06-17,GRASIM22JUNFUT,-27550.0,1367.294811996034,1293.7,Grasim Industries Ltd - 30/06/2022,FUT15792,TB1,FUTURES,GRASIM,30/06/2022
67,2022-06-17,HCLTECH22JUNFUT,-49000.0,1025.774084018079,961.25,HCL Technologies Ltd - 30/06/2022,FUT15776,TB1,FUTURES,HCLTECH,30/06/2022
68,2022-06-17,HDFCAMC22JUNFUT,-33600.0,1757.22165223631,1771.15,HDFC Asset Management Company Ltd - 30/06/2022,FUT15762,TB1,FUTURES,HDFCAMC,30/06/2022
69,2022-06-17,HEROMOTOCO22JUNFUT,-2400.0,2590.73626632,2475.55,Hero MotoCorp Limited - 30/06/2022,FUT15756,TB1,FUTURES,HEROMOTOCO,30/06/2022
70,2022-06-17,ICICIBANK22JUNFUT,-198000.0,720.858308116042,688.1,ICICI Bank Ltd - 30/06/2022,FUT15710,TB1,FUTURES,ICICIBANK,30/06/2022
71,2022-06-17,INDIAMART22JUNFUT,-2100.0,4404.984491858571,3865.05,IndiaMART InterMESH Ltd - 30/06/2022,FUT15681,TB1,FUTURES,INDIAMART,30/06/2022
72,2022-06-17,IOC22JUNFUT,-331500.0,116.146614819517,104.55,Indian Oil Corporation - 30/06/2022,FUT15695,TB1,FUTURES,IOC,30/06/2022
73,2022-06-17,JSWSTEEL22JUNFUT,-45900.0,565.080668809321,556.35,JSW Steel Ltd - 30/06/2022,FUT15788,TB1,FUTURES,JSWSTEEL,30/06/2022
74,2022-06-17,KOTAKBANK22JUNFUT,-118400.0,1898.597887937567,1674.8,Kotak Mahindra Bank Ltd - 30/06/2022,FUT15701,TB1,FUTURES,KOTAKBANK,30/06/2022
75,2022-06-17,MRF22JUNFUT,-140.0,68668.65713804928,67283.85,MRF Ltd - 30/06/2022,FUT15740,TB1,FUTURES,MRF,30/06/2022
76,2022-06-17,M&MFIN22JUNFUT,-248000.0,175.766643776129,171.45,Mahindra and Mahindra Financial Services Ltd - 30/06/2022,FUT15688,TB1,FUTURES,M&MFIN,30/06/2022
77,2022-06-17,MARUTI22JUNFUT,-30400.0,7691.752883487369,7706.15,Maruti Suzuki India Ltd - 30/06/2022,FUT15789,TB1,FUTURES,MARUTI,30/06/2022
78,2022-06-17,MFSL22JUNFUT,-40950.0,810.395143154127,778.15,Max Financial Services Limited - 30/06/2022,FUT15752,TB1,FUTURES,MFSL,30/06/2022
79,2022-06-17,MPHASIS22JUNFUT,-2100.0,2202.599981374167,2201.0,MphasiS Limited  - 30/06/2022,FUT15858,TB1,FUTURES,MPHASIS,30/06/2022
80,2022-06-17,NESTLEIND22JUNFUT,-25.0,17526.193845024853,16680.45,Nestle India Ltd - 30/06/2022,FUT15782,TB1,FUTURES,NESTLEIND,30/06/2022
81,2022-06-17,NIFTY22JUNFUT,-7450.0,15352.44115044402,15319.25,Nifty FNO SPOT - 30/06/2022,FUT15672,TB1,FUTURES,NIFTY,30/06/2022
82,2022-06-17,OBEROIRLTY22JUNFUT,-30800.0,786.559059262046,759.65,Oberoi Realty Ltd - 30/06/2022,FUT15689,TB1,FUTURES,OBEROIRLTY,30/06/2022
83,2022-06-17,PNB22JUNFUT,-32000.0,30.456750745516,28.55,Punjab National Bank - 30/06/2022,FUT15674,TB1,FUTURES,PNB,30/06/2022
84,2022-06-17,SBIN22JUNFUT,-90000.0,453.728837996,442.25,State Bank of India - 30/06/2022,FUT15790,TB1,FUTURES,SBIN,30/06/2022
85,2022-06-17,TCS22JUNFUT,-4800.0,3341.372309147652,3097.15,Tata Consultancy Services Ltd. - 30/06/2022,FUT15771,TB1,FUTURES,TCS,30/06/2022
86,2022-06-17,RAMCOCEM22JUNFUT,-16150.0,611.511272242106,579.4,The Ramco Cements Limited - 30/06/2022,FUT15769,TB1,FUTURES,RAMCOCEM,30/06/2022
87,2022-06-17,UBL22JUNFUT,-16450.0,1454.167418090851,1446.45,United Breweries Ltd - 30/06/2022,FUT15849,TB1,FUTURES,UBL,30/06/2022
88,2022-06-17,WIPRO22JUNFUT,-47200.0,447.23899765,406.65,Wipro Ltd - 30/06/2022,FUT15764,TB1,FUTURES,WIPRO,30/06/2022
