ASTCLS,CODE,NAME,SYMBOLCODE,SYMBOLNAME,ISINCODE,QUANTITY,UNITCOST,MARKETRATE,ACCRUEDINTEREST,MARKETVALUE,GainLoss,GainLoss Percentage,POSITIONFLAG,ASONDATE
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,MUNDRAPORT,Adani Ports and Special Economic Zone Ltd,INE742F01042,14158,728.493950060506,678.75,0,9609742.5,-704274.844956644,-6.82832713385944,Long,05/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,ASIANPAINT,Asian Paints Ltd,INE021A01026,3724,2523.43352799107,2766.6,0,10302818.4,905551.941761259,9.63633356344117,Long,05/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,UTIBANK,Axis Bank Ltd,INE238A01034,181273,722.557551062028,648.5,0,117555540.5,-13424634.453667,-10.2493636601233,Long,05/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,BAJAJ-AUTO,Bajaj Auto Ltd,INE917I01010,8336,4081.13254554665,3682.75,1167040,31866444,-3320916.89967684,-9.76156841515386,Long,05/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,BAJAJFINSV,Bajaj Finserv Limited,INE918I01018,4090,11917.778764649,11524.7,23324,47159347,-1607692.1474145,-3.29825525722115,Long,05/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,BANKBARODA,Bank of Baroda,INE028A01039,1216,83.566017,98.65,3465.6,123424,18342.123328,18.050379258832,Long,05/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,BERGEPAINT,Berger Paints India Ltd,INE463A01038,645,774.742838085271,575.05,0,370907.25,-128801.880565,-25.7753706479946,Long,05/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,BPCL,Bharat Petroleum Corporation Ltd,INE029A01011,62971,474.624593491717,313.1,0,19716220.1,-10171365.1767669,-34.0320741290318,Long,05/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,CIPLA,Cipla Ltd,INE059A01026,34378,963.48481660867,937.4,0,32225937.2,-896743.825372857,-2.70734070314516,Long,05/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,DABUR,Dabur India Ltd,INE016A01026,822,580.75425903893,530.7,0,436235.4,-41144.6009300005,-8.61883632532683,Long,05/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,DRREDDY,Dr. Reddys Laboratories Ltd,INE089A01023,7739,5264.39207146309,4394.2,0,34006713.8,-6734416.44105286,-16.5297732321302,Long,05/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,EICHERMOT,Eicher Motors Ltd,INE066A01021,9252,2661.45815137842,2805.6,0,25957411.2,1333600.38344689,5.41589761788775,Long,05/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,GAIL,GAIL India Ltd,INE129A01019,1561,131.30851201025,133.8,0,208861.8,3889.21275199975,1.89743067803214,Long,05/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,GRASIM,Grasim Industries Ltd,INE047A01021,25221,1509.08788784451,1349.75,0,34042044.75,-4018660.86932626,-10.5585558752376,Long,05/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,HCLTECH,HCL Technologies Ltd,INE860A01027,72438,918.979304816578,982.15,0,71144981.7,4575958.81769672,6.87400628635815,Long,05/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,HDFCBANK,HDFC Bank Ltd,INE040A01034,9295,1422.3853219804,1352.6,144072.5,12716489.5,-648654.567807772,-4.9062178090556,Long,05/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,HINDALCO,Hindalco Industries Ltd,INE038A01020,99085,441.384208570297,345.25,0,34209096.25,-9525458.05618788,-21.7801649229112,Long,05/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,HDFC,Housing Development Finance Corp Ltd,INE001A01036,115230,2523.25574526443,2202.9,0,253840167,-36914592.5268202,-12.6961266556378,Long,05/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,ICICIBANK,ICICI Bank Ltd,INE090A01021,474784,685.284270972748,719.45,0,341583348.8,16221341.4904748,4.9856286616289,Long,05/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,ITC,ITC Ltd,INE154A01025,1344,219.475326928571,286.9,8400,393993.6,90618.7606080006,30.7208441217507,Long,05/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,INDUSINDBK,IndusInd Bank Ltd,INE095A01012,208,910.207394692308,824.05,0,171402.4,-17920.7380960001,-9.46568828101349,Long,05/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,INFOSYSTCH,Infosys Ltd,INE009A01021,250917,1439.96956648755,1475.95,0,370340946.15,9028102.43564392,2.49869402450063,Long,05/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,KOTAKBANK,Kotak Mahindra Bank Ltd,INE237A01028,101109,1809.88556702106,1663.05,0,168149322.45,-14846397.3459328,-8.1129751900693,Long,05/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,L&T,Larsen and Toubro Ltd,INE018A01030,74723,1376.31517537957,1564.9,0,116934022.7,14091623.8501125,13.7021539828929,Long,05/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,M&M,Mahindra and Mahindra Ltd,INE101A01026,27067,758.309785570786,1081.95,0,29285140.65,8759969.68395554,42.6791557470945,Long,05/07/2022
