,report_date,unique_id,quantity,average_unit_cost,market_rate,symbol_name,fund_id,instrument_type_x,symbol_code,expiry_date,instrument_type_y,leven_score
37,2022-06-17,,12500.0,777.6166801572,688.0,SBI Cards and Payment Services - 30/06/2022,TB1,FUTURES,SBICARD,30/06/2022,FUTURES,36.0
38,2022-06-17,,30000.0,1086.790776399231,1085.55,SBI Life Insurance Company Ltd - 30/06/2022,TB1,FUTURES,SBILIFE,30/06/2022,FUTURES,36.0
39,2022-06-17,,1475.0,18372.64168057176,18106.65,Shree Cements - 30/06/2022,TB1,FUTURES,SHREECEM,30/06/2022,FUTURES,18.0
40,2022-06-17,,16400.0,1168.380156211464,1137.2,Shriram Transport Finance Co Ltd - 30/06/2022,TB1,FUTURES,SRTRANSFIN,30/06/2022,FUTURES,35.0
41,2022-06-17,,40600.0,894.26720036531,795.8,Sun Pharmaceuticals Industries Ltd - 30/06/2022,TB1,FUTURES,SUNPHARMA,30/06/2022,FUTURES,38.0
42,2022-06-17,,45900.0,537.405448695556,537.1,Syngene International Ltd -IPO  - 30/06/2022,TB1,FUTURES,SYNGENE,30/06/2022,FUTURES,37.0
43,2022-06-17,,216600.0,409.988109432715,390.1,TATA Motors Right Issue - 30/06/2022,TB1,FUTURES,TATAMOTORS,30/06/2022,FUTURES,26.0
44,2022-06-17,,88425.0,703.569265988572,713.55,Tata Consumer Products Ltd - 30/06/2022,TB1,FUTURES,TATACONSUM,30/06/2022,FUTURES,29.0
45,2022-06-17,,124525.0,981.212019490034,907.2,Tata Steel Ltd - 30/06/2022,TB1,FUTURES,TATASTEEL,30/06/2022,FUTURES,18.0
46,2022-06-17,,78000.0,1111.048463138914,967.3,Tech Mahindra Ltd - 30/06/2022,TB1,FUTURES,TECHM,30/06/2022,FUTURES,25.0
47,2022-06-17,,21000.0,2087.041292176071,1942.35,Titan Company Ltd - 30/06/2022,TB1,FUTURES,TITAN,30/06/2022,FUTURES,25.0
48,2022-06-17,,90000.0,434.2602004745,462.6,Torrent Power Ltd - 30/06/2022,TB1,FUTURES,TORNTPOWER,30/06/2022,FUTURES,20.0
49,2022-06-17,,10400.0,737.28288135,665.7,UPL Ltd - 30/06/2022,TB1,FUTURES,UPL,30/06/2022,FUTURES,17.0
50,2022-06-17,,8100.0,5908.771490801353,5190.95,Ultratech Cement Ltd - 30/06/2022,TB1,FUTURES,ULTRACEMCO,30/06/2022,FUTURES,25.0
51,2022-06-17,,32500.0,747.416987157115,732.7,United Spirits Ltd - 30/06/2022,TB1,FUTURES,MCDOWELL-N,30/06/2022,FUTURES,28.0
52,2022-06-17,,-32900.0,734.848943547872,721.15,Alembic Pharmaceuticals Ltd - 30/06/2022,TB1,FUTURES,APLLTD,30/06/2022,FUTURES,34.0
53,2022-06-17,,-11000.0,3102.267318710182,3080.25,Alkem Laboratories Ltd - 30/06/2022,TB1,FUTURES,ALKEM,30/06/2022,FUTURES,30.0
54,2022-06-17,,-216000.0,139.363238246667,131.9,Ashok Leyland Ltd - 30/06/2022,TB1,FUTURES,ASHOKLEY,30/06/2022,FUTURES,22.0
55,2022-06-17,,-74400.0,671.377669749535,635.95,Axis Bank Ltd - 30/06/2022,TB1,FUTURES,AXISBANK,30/06/2022,FUTURES,18.0
56,2022-06-17,,-81900.0,360.760966331746,331.7,BIRLASOFT LIMITED NEW EQ RS. - 30/06/2022,TB1,FUTURES,BSOFT,30/06/2022,FUTURES,36.0
57,2022-06-17,,-1700.0,12163.80076314,11772.25,Bajaj Finserv Limited - 30/06/2022,TB1,FUTURES,BAJAJFINSV,30/06/2022,FUTURES,24.0
58,2022-06-17,,-28800.0,328.59191644,310.8,Bandhan Bank Ltd - 30/06/2022,TB1,FUTURES,BANDHANBNK,30/06/2022,FUTURES,19.0
59,2022-06-17,,-38000.0,238.734126996,235.5,Bharat Electronics Ltd - 30/06/2022,TB1,FUTURES,BEL,30/06/2022,FUTURES,32.0
60,2022-06-17,,-13750.0,668.710822036364,635.15,Cholamandalam Investments and Finance Ltd - 30/06/2022,TB1,FUTURES,CHOLAFIN,30/06/2022,FUTURES,46.0
61,2022-06-17,,-1950.0,962.87631266,917.5,Cipla Ltd - 30/06/2022,TB1,FUTURES,CIPLA,30/06/2022,FUTURES,17.0
62,2022-06-17,,-12600.0,193.499406464167,181.7,Coal India Ltd - 30/06/2022,TB1,FUTURES,COALINDIA,30/06/2022,FUTURES,18.0
63,2022-06-17,,-6300.0,1515.773822157778,1483.05,Colgate Palmolive India Ltd - 30/06/2022,TB1,FUTURES,COLPAL,30/06/2022,FUTURES,34.0
64,2022-06-17,,-10000.0,949.073527216875,921.95,Coromandel International Ltd NCD - 30/06/2022,TB1,FUTURES,COROMANDEL,30/06/2022,FUTURES,35.0
65,2022-06-17,,-13000.0,4320.655132979011,4142.45,Dr. Reddys Laboratories Ltd - 30/06/2022,TB1,FUTURES,DRREDDY,30/06/2022,FUTURES,33.0
66,2022-06-17,,-27550.0,1367.294811996034,1293.7,Grasim Industries Ltd - 30/06/2022,TB1,FUTURES,GRASIM,30/06/2022,FUTURES,28.0
67,2022-06-17,,-49000.0,1025.774084018079,961.25,HCL Technologies Ltd - 30/06/2022,TB1,FUTURES,HCLTECH,30/06/2022,FUTURES,26.0
68,2022-06-17,,-33600.0,1757.22165223631,1771.15,HDFC Asset Management Company Ltd - 30/06/2022,TB1,FUTURES,HDFCAMC,30/06/2022,FUTURES,39.0
69,2022-06-17,,-2400.0,2590.73626632,2475.55,Hero MotoCorp Limited - 30/06/2022,TB1,FUTURES,HEROMOTOCO,30/06/2022,FUTURES,24.0
70,2022-06-17,,-536425.0,398.980434678207,334.0,Hindalco Industries Ltd - 30/06/2022,TB1,FUTURES,HINDALCO,30/06/2022,FUTURES,28.0
72,2022-06-17,,-198000.0,720.858308116042,688.1,ICICI Bank Ltd - 30/06/2022,TB1,FUTURES,ICICIBANK,30/06/2022,FUTURES,18.0
73,2022-06-17,,-2100.0,4404.984491858571,3865.05,IndiaMART InterMESH Ltd - 30/06/2022,TB1,FUTURES,INDIAMART,30/06/2022,FUTURES,27.0
74,2022-06-17,,-331500.0,116.146614819517,104.55,Indian Oil Corporation - 30/06/2022,TB1,FUTURES,IOC,30/06/2022,FUTURES,32.0
75,2022-06-17,,-45900.0,565.080668809321,556.35,JSW Steel Ltd - 30/06/2022,TB1,FUTURES,JSWSTEEL,30/06/2022,FUTURES,18.0
76,2022-06-17,,-118400.0,1898.597887937567,1674.8,Kotak Mahindra Bank Ltd - 30/06/2022,TB1,FUTURES,KOTAKBANK,30/06/2022,FUTURES,27.0
77,2022-06-17,,-140.0,68668.65713804928,67283.85,MRF Ltd - 30/06/2022,TB1,FUTURES,MRF,30/06/2022,FUTURES,17.0
78,2022-06-17,,-39000.0,736.544188259538,699.15,Mahanagar Gas Limited - 30/06/2022,TB1,FUTURES,MGL,30/06/2022,FUTURES,31.0
80,2022-06-17,,-248000.0,175.766643776129,171.45,Mahindra and Mahindra Financial Services Ltd - 30/06/2022,TB1,FUTURES,M&MFIN,30/06/2022,FUTURES,52.0
81,2022-06-17,,-30400.0,7691.752883487369,7706.15,Maruti Suzuki India Ltd - 30/06/2022,TB1,FUTURES,MARUTI,30/06/2022,FUTURES,30.0
82,2022-06-17,,-40950.0,810.395143154127,778.15,Max Financial Services Limited - 30/06/2022,TB1,FUTURES,MFSL,30/06/2022,FUTURES,39.0
83,2022-06-17,,-2100.0,2202.599981374167,2201.0,MphasiS Limited  - 30/06/2022,TB1,FUTURES,MPHASIS,30/06/2022,FUTURES,22.0
84,2022-06-17,,-25.0,17526.193845024853,16680.45,Nestle India Ltd - 30/06/2022,TB1,FUTURES,NESTLEIND,30/06/2022,FUTURES,20.0
85,2022-06-17,,-7450.0,15352.44115044402,15319.25,Nifty FNO SPOT - 30/06/2022,TB1,FUTURES,NIFTY,30/06/2022,FUTURES,22.0
86,2022-06-17,,-30800.0,786.559059262046,759.65,Oberoi Realty Ltd - 30/06/2022,TB1,FUTURES,OBEROIRLTY,30/06/2022,FUTURES,20.0
87,2022-06-17,,-32000.0,30.456750745516,28.55,Punjab National Bank - 30/06/2022,TB1,FUTURES,PNB,30/06/2022,FUTURES,30.0
88,2022-06-17,,-90000.0,453.728837996,442.25,State Bank of India - 30/06/2022,TB1,FUTURES,SBIN,30/06/2022,FUTURES,28.0
89,2022-06-17,,-4800.0,3341.372309147652,3097.15,Tata Consultancy Services Ltd. - 30/06/2022,TB1,FUTURES,TCS,30/06/2022,FUTURES,40.0
90,2022-06-17,,-16150.0,611.511272242106,579.4,The Ramco Cements Limited - 30/06/2022,TB1,FUTURES,RAMCOCEM,30/06/2022,FUTURES,30.0
91,2022-06-17,,-16450.0,1454.167418090851,1446.45,United Breweries Ltd - 30/06/2022,TB1,FUTURES,UBL,30/06/2022,FUTURES,30.0
92,2022-06-17,,-47200.0,447.23899765,406.65,Wipro Ltd - 30/06/2022,TB1,FUTURES,WIPRO,30/06/2022,FUTURES,17.0
