,report_date,unique_id,quantity,average_unit_cost,market_rate,symbol_name,fund_id,instrument_type
157,2022-07-07,,-7000.0,2119.633570017143,2235.25,Pidilite Industries Ltd - 28/07/2022,TB1,FUTURES
158,2022-07-07,,-7800.0,1265.865012800769,1239.55,Shriram Transport Finance Co Ltd - 28/07/2022,TB1,FUTURES
159,2022-07-07,,-3575.0,2645.377229811539,2666.05,Siemens Ltd - 28/07/2022,TB1,FUTURES
160,2022-07-07,,-171000.0,468.494589796803,488.25,State Bank of India - 28/07/2022,TB1,FUTURES
161,2022-07-07,,-492000.0,69.449511012194,73.15,Steel Authority of India Ltd - 28/07/2022,TB1,FUTURES
162,2022-07-07,,-56100.0,623.124064710303,646.3,The Ramco Cements Limited - 28/07/2022,TB1,FUTURES
163,2022-07-07,,-4350.0,1076.948506415,1173.0,Trent Ltd - 28/07/2022,TB1,FUTURES
164,2022-07-07,,-22800.0,1442.506618727368,1627.3,United Breweries Ltd - 28/07/2022,TB1,FUTURES
165,2022-07-07,,-3150.0,1548.484128575555,1654.45,Whirlpool of India Ltd - 28/07/2022,TB1,FUTURES
166,2022-07-07,,-6000.0,418.673033723333,422.65,Wipro Ltd - 28/07/2022,TB1,FUTURES
