ASTCLS,CODE,NAME,SYMBOLCODE,SYMBOLNAME,ISINCODE,QUANTITY,UNITCOST,MARKETRATE,ACCRUEDINTEREST,MARKETVALUE,GainLoss,GainLoss Percentage,POSITIONFLAG,ASONDATE
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,MUNDRAPORT,Adani Ports and Special Economic Zone Ltd,INE742F01042,14158,728.493950060506,682,0,9655756,-658261.344956643948,-6.3822012600989185024205826789536690379E00,Long,04/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,ASIANPAINT,Asian Paints Ltd,INE021A01026,3724,2523.433527991069,2790.3,0,10391077.2,993810.741761259044,1.05755300882201601861326676684397096807E01,Long,04/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,UTIBANK,Axis Bank Ltd,INE238A01034,181273,722.557551062028,654.35,0,118615987.55,-12364187.403667001644,-9.4397395697789501530871847188049220266E00,Long,04/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,BAJAJ-AUTO,Bajaj Auto Ltd,INE917I01010,8336,4081.132545546646,3679.75,1167040,31841436,-3345924.899676841056,-9.8350774219434949196447321649426815519E00,Long,04/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,BAJAJFINSV,Bajaj Finserv Limited,INE918I01018,4090,11917.778764649022,11388.3,23324,46601471,-2165568.14741449998,-4.4427638329684594010474236172532963315E00,Long,04/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,BANKBARODA,Bank of Baroda,INE028A01039,1216,83.566017,98.45,3465.6,123180.8,18098.923328,1.78110475218652577398776825752027884732E01,Long,04/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,BERGEPAINT,Berger Paints India Ltd,INE463A01038,645,774.742838085271,583.7,0,376486.5,-123222.630564999795,-2.4658871136830584549774591430112930988E01,Long,04/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,BPCL,Bharat Petroleum Corporation Ltd,INE029A01011,62971,474.624593491717,316.35,0,19920875.85,-9966709.426766911207,-3.3347322423248840499942972605065876432E01,Long,04/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,CIPLA,Cipla Ltd,INE059A01026,34378,963.48481660867,930.65,0,31993885.7,-1128795.32537285726,-3.4079225788159174933506326261837741711E00,Long,04/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,DABUR,Dabur India Ltd,INE016A01026,822,580.75425903893,525,0,431550,-45830.00093000046,-9.6003185807359866432799557652096552633E00,Long,04/07/2022
