ASTCLS,CODE,NAME,SYMBOLCODE,SYMBOLNAME,ISINCODE,QUANTITY,UNITCOST,MARKETRATE,ACCRUEDINTEREST,MARKETVALUE,GainLoss,GainLoss Percentage,POSITIONFLAG,ASONDATE
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,KOTAKBANK,Kotak Mahindra Bank Ltd,INE237A01028,101109,1809.88556702106,1704.5,0,172340290.5,-10655429.2959328,-5.82277514895711,Long,06/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,L&T,Larsen and Toubro Ltd,INE018A01030,74723,1376.31517537957,1556.15,0,116280196.45,13437797.6001125,13.0663984411009,Long,06/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,M&M,Mahindra and Mahindra Ltd,INE101A01026,27067,758.309785570786,1104.55,0,29896854.85,9371683.88395554,45.6594680719564,Long,06/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,MARUTI,Maruti Suzuki India Ltd,INE585B01010,39706,7134.60473398255,8630.05,0,342664765.3,59378149.7324887,20.960450112878,Long,06/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,NTPC,NTPC Ltd,INE733E01010,2658,126.057495333333,138.95,0,369329.1,34268.2774040009,10.2274796374269,Long,06/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,NESTLE,Nestle India Ltd,INE239A01016,2202,17643.7246167008,18388.65,0,40491807.3,1640325.69402479,4.22204154441441,Long,06/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,RELIANCE,Reliance Industries Ltd,INE002A01018,221237,2087.11726334384,2411.85,0,533590458.45,71842896.4595993,15.5589119192995,Long,06/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,SHREECEM,Shree Cements,INE070A01015,1089,28236.4781803169,19990.85,0,21770035.65,-8979489.08836508,-29.2020418681844,Long,06/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,SBIN,State Bank of India,INE062A01020,350698,311.970904833382,479.95,0,168317505.1,58909932.7167426,53.8444747776504,Long,06/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,TCS,Tata Consultancy Services Ltd.,INE467B01029,49729,3099.41676852318,3260.75,0,162153836.75,8022940.26811088,5.20527710617294,Long,06/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,TITAN,Titan Company Ltd,INE280A01028,7753,1492.78827898776,2013.55,0,15611053.15,4037465.62300787,34.8851694739562,Long,06/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,UNITEDPHOS,UPL Ltd,INE628A01036,27366,596.744313118696,662.5,0,18129975,1799470.12719377,11.0190722283808,Long,06/07/2022
