ASTCLS,CODE,NAME,SYMBOLCODE,SYMBOLNAME,ISINCODE,QUANTITY,UNITCOST,MARKETRATE,ACCRUEDINTEREST,MARKETVALUE,GainLoss,GainLoss Percentage,POSITIONFLAG,ASONDATE
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,MUNDRAPORT,Adani Ports and Special Economic Zone Ltd,INE742F01042,14158,728.493950060506,715.7,0,10132880.6,-181136.744956643948,-1.756219122951313742202948714555925118E00,Long,08/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,ASIANPAINT,Asian Paints Ltd,INE021A01026,3724,2523.433527991069,2879.8,0,10724375.2,1327108.741761259044,1.41222848969847031874797893959691344797E01,Long,08/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,UTIBANK,Axis Bank Ltd,INE238A01034,181273,722.557551062028,669.15,181273,121480100.95,-9681347.003667001644,-7.391459819848069832564055405499065598E00,Long,08/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,BAJAJ-AUTO,Bajaj Auto Ltd,INE917I01010,8336,4081.132545546646,3825,1167040,33052240,-2135120.899676841056,-6.2760163432118671289193832545433132512E00,Long,08/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,BAJAJFINSV,Bajaj Finserv Limited,INE918I01018,4090,11917.778764649022,12003.1,23324,49116003,348963.85258550002,7.15915583229831051455236477766388205688E-01,Long,08/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,BANKBARODA,Bank of Baroda,INE028A01039,1216,83.566017,105.6,3465.6,131875.2,26793.323328,2.63671571184253043913771790750778513232E01,Long,08/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,BERGEPAINT,Berger Paints India Ltd,INE463A01038,645,774.742838085271,585.25,0,377486.25,-122222.880564999795,-2.4458804750437038903127599168191867159E01,Long,08/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,BPCL,Bharat Petroleum Corporation Ltd,INE029A01011,62971,474.624593491717,325.3,0,20484466.3,-9403118.976766911207,-3.146162157193882666234060056402064044E01,Long,08/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,CIPLA,Cipla Ltd,INE059A01026,34378,963.48481660867,935.45,0,32158900.1,-963780.92537285726,-2.9097310227833772300594737980590034367E00,Long,08/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,DABUR,Dabur India Ltd,INE016A01026,822,580.75425903893,543.9,0,447085.8,-30294.20093000046,-6.3459300496424821624380341727572028527E00,Long,08/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,DRREDDY,Dr. Reddys Laboratories Ltd,INE089A01023,7739,5264.392071463091,4406.2,0,34099581.8,-6641548.441052861249,-1.6301826684131838245643217194752673448E01,Long,08/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,EICHERMOT,Eicher Motors Ltd,INE066A01021,9252,2661.458151378417,2931.6,0,27123163.2,2499352.383446885916,1.01501445168946835573783420095819346031E01,Long,08/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,GAIL,GAIL India Ltd,INE129A01019,1561,131.30851201025,137.25,0,214247.25,9274.66275199975,4.52483079641189205111682406755209101225E00,Long,08/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,GRASIM,Grasim Industries Ltd,INE047A01021,25221,1509.087887844505,1391.35,0,35091238.35,-2969467.269326260605,-7.801923850351425091492348419538572771E00,Long,08/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,HCLTECH,HCL Technologies Ltd,INE860A01027,72438,918.979304816578,983.55,0,71246394.9,4677372.017696722836,7.02634921646139466218097471925829575124E00,Long,08/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,HDFCBANK,HDFC Bank Ltd,INE040A01034,9295,1422.385321980395,1397.1,144072.5,13130117,-235027.067807771525,-1.7776703393697922502910535356796631121E00,Long,08/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,HINDALCO,Hindalco Industries Ltd,INE038A01020,99085,441.384208570297,357.55,0,35427841.75,-8306712.556187878245,-1.8993477098296586522354129162819996498E01,Long,08/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,HDFC,Housing Development Finance Corp Ltd,INE001A01036,115230,2523.255745264429,2239.75,0,258086392.5,-32668367.02682015367,-1.1235711869338021440273314954275460334E01,Long,08/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,ICICIBANK,ICICI Bank Ltd,INE090A01021,474784,685.284270972748,755.7,0,358794268.8,33432261.490474813568,1.0275404238783740180599204920904553393E01,Long,08/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,ITC,ITC Ltd,INE154A01025,1344,219.475326928571,293.05,8400,402259.2,98884.360608000576,3.3522981421676674572030336640097840774E01,Long,08/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,INDUSINDBK,IndusInd Bank Ltd,INE095A01012,208,910.207394692308,848.6,0,176508.8,-12814.338096000064,-6.7685007891123687748148464263579507906E00,Long,08/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,INFOSYSTCH,Infosys Ltd,INE009A01021,250917,1439.969566487548,1514.45,0,380001250.65,18688406.935643918484,5.17236164192891381303043590039640951525E00,Long,08/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,KOTAKBANK,Kotak Mahindra Bank Ltd,INE237A01028,101109,1809.885567021064,1744.75,0,176409927.75,-6585792.045932759976,-3.5988776422076375623943181167904888228E00,Long,08/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,L&T,Larsen and Toubro Ltd,INE018A01030,74723,1376.315175379569,1687.45,0,126091326.35,23248927.500112465613,2.26063644567912468519430538311508677512E01,Long,08/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,M&M,Mahindra and Mahindra Ltd,INE101A01026,27067,758.309785570786,1133.6,0,30683151.2,10157980.233955535338,4.94903562594448092372915049680960282548E01,Long,08/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,MARUTI,Maruti Suzuki India Ltd,INE585B01010,39706,7134.604733982554,8475.95,0,336546070.7,53259455.132488710876,1.88005547052738232992891974723486341548E01,Long,08/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,NTPC,NTPC Ltd,INE733E01010,2658,126.057495333333,143.7,0,381954.6,46893.777404000886,1.39956014674217044854010543265817741195E01,Long,08/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,NESTLE,Nestle India Ltd,INE239A01016,2202,17643.72461670082,18419.15,0,40558968.3,1707486.69402479436,4.39490753876987176949935787109881175992E00,Long,08/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,RELIANCE,Reliance Industries Ltd,INE002A01018,221237,2087.117263343838,2391.4,0,529066161.8,67318599.809599312394,1.45790915537089083615882278133254206739E01,Long,08/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,SHREECEM,Shree Cements,INE070A01015,1089,28236.478180316876,19932.8,0,21706819.2,-9042705.538365077964,-2.9407626996858325225732649118062596186E01,Long,08/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,SBIN,State Bank of India,INE062A01020,350698,311.970904833382,488.55,0,171333507.9,61925935.516742599364,5.66011421035963885639175969622642283602E01,Long,08/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,TCS,Tata Consultancy Services Ltd.,INE467B01029,49729,3099.416768523178,3265.45,0,162387563.05,8256666.568110881238,5.35691853909450685160441581968988848817E00,Long,08/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,TITAN,Titan Company Ltd,INE280A01028,7753,1492.788278987764,2144.35,58147.5,16683293.05,5051558.023007865708,4.36472961493273275598134363299230307039E01,Long,08/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,UNITEDPHOS,UPL Ltd,INE628A01036,27366,596.744313118696,690.25,0,18889381.5,2558876.627193765264,1.56693050651167515458013289160906766161E01,Long,08/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,WIPRO,Wipro Ltd,INE075A01022,101382,414.709883098648,419.1,0,42489196.2,445078.831692868464,1.05859953675319397415559281676800328342E00,Long,08/07/2022
FIXED,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,TB2FIIS02,7.36 PFC BONDS TRANCHE I SERIES II 04012028,TBE134E07349,20000,1139.126165697674,1083.197,750115.068493150685,22414055.068493150685,-1118583.31395348,-4.9098306563276411148691938902349328635E00,Long,08/07/2022
FIXED,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,TB2FIIS23,7.53 INDIAN RAILWAY FINANCE CORPORATION LIMITED SR-103A BD 21DC30 FVRS1000 LOAUPTO20DC15,TBE053F07835,100000,1208.844224,1111.218,5305424.657534246575,116427224.657534246575,-9762622.4,-8.075997060809052597996282439117647635E00,Long,08/07/2022
FIXED,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,TB2FIIS08,8.10 IRFC 2027,TBE053F07538,26999,1173.689477622692,1103.274,1599746.227397260274,31387040.953397260274,-1901147.480335061308,-5.999498075531745220163532662707795172E00,Long,08/07/2022
FIXED,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,TB2FIIS15,8.26 IIFCL 2028,TBE787H07198,65,1218460.2375,1137266,4707068.493150684932,78629358.493150684932,-5277625.4375,-6.6636755965538842624727013301490685698E00,Long,08/07/2022
FIXED,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,TB2FIIS11,8.46 REC LIMITED 2028,TBE020B07HN3,50,1229578.240000000001,1147714,3638958.904109589041,61024658.904109589041,-4093212.00000000005,-6.6579122285052800652539912966373900166E00,Long,08/07/2022
FIXED,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,TB2FIIS14,8.51 HUDCO 2028,TBE031A07915,10000,1238.61024,1153.268,599197.260273972603,12131877.260273972603,-853422.4,-6.8901610243428957926264197525122995915E00,Long,08/07/2022
