ASTCLS,CODE,NAME,SYMBOLCODE,SYMBOLNAME,ISINCODE,QUANTITY,UNITCOST,MARKETRATE,ACCRUEDINTEREST,MARKETVALUE,GainLoss,GainLoss Percentage,POSITIONFLAG,ASONDATE
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,MUNDRAPORT,Adani Ports and Special Economic Zone Ltd,INE742F01042,14158,728.493950060506,703.6,0,9961568.8,-352448.544956643948,-3.4171800683366555107083899896067471189E00,Long,07/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,ASIANPAINT,Asian Paints Ltd,INE021A01026,3724,2523.433527991069,2891.4,0,10767573.6,1370307.141761259044,1.45819760230368674200566230500399873028E01,Long,07/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,UTIBANK,Axis Bank Ltd,INE238A01034,181273,722.557551062028,658.15,181273,119486097.95,-11675350.003667001644,-8.913829904256156557277192057280445376E00,Long,07/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,BAJAJ-AUTO,Bajaj Auto Ltd,INE917I01010,8336,4081.132545546646,3795.5,1167040,32806328,-2381032.899676841056,-6.9988549099766383497551684032991229921E00,Long,07/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,BAJAJFINSV,Bajaj Finserv Limited,INE918I01018,4090,11917.778764649022,11967.35,23324,48969785.5,202746.35258550002,4.15943577489608403965044385383574734305E-01,Long,07/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,BANKBARODA,Bank of Baroda,INE028A01039,1216,83.566017,105,3465.6,131145.6,26063.723328,2.56491619075251606164261723757876362589E01,Long,07/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,BERGEPAINT,Berger Paints India Ltd,INE463A01038,645,774.742838085271,593.25,0,382646.25,-117062.880564999795,-2.3426204046470351694626993945373473203E01,Long,07/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,BPCL,Bharat Petroleum Corporation Ltd,INE029A01011,62971,474.624593491717,329.4,0,20742647.4,-9144937.876766911207,-3.0597780958489546580310463651363046299E01,Long,07/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,CIPLA,Cipla Ltd,INE059A01026,34378,963.48481660867,935.25,0,32152024.5,-970656.52537285726,-2.9304890042847330743632720825642022173E00,Long,07/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,DABUR,Dabur India Ltd,INE016A01026,822,580.75425903893,543.55,0,446798.1,-30581.90093000046,-6.4061965039219915046758475355803964159E00,Long,07/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,DRREDDY,Dr. Reddys Laboratories Ltd,INE089A01023,7739,5264.392071463091,4336.45,0,33559786.55,-7181343.691052861249,-1.76267659943723639327128884762800669E01,Long,07/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,EICHERMOT,Eicher Motors Ltd,INE066A01021,9252,2661.458151378417,2944.2,0,27239738.4,2615927.583446885916,1.06235692067953770397166443391360116859E01,Long,07/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,GAIL,GAIL India Ltd,INE129A01019,1561,131.30851201025,136.8,0,213544.8,8572.21275199975,4.18212643314496781488365415257651038598E00,Long,07/07/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,GRASIM,Grasim Industries Ltd,INE047A01021,25221,1509.087887844505,1374.85,0,34675091.85,-3385613.769326260605,-8.8952995332990669400497755594225800655E00,Long,07/07/2022
