ASTCLS,CODE,NAME,SYMBOLCODE,SYMBOLNAME,ISINCODE,QUANTITY,UNITCOST,MARKETRATE,ACCRUEDINTEREST,MARKETVALUE,GainLoss,GainLoss Percentage,POSITIONFLAG,ASONDATE
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,MUNDRAPORT,Adani Ports and Special Economic Zone Ltd,INE742F01042,14158,728.493950060506,668.95,0,9470994.1,-843023.244956643948,-8.1735682301219523932466990954341010307E00,Long,17/06/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,ASIANPAINT,Asian Paints Ltd,INE021A01026,3724,2523.433527991069,2580.2,57722,9666386.8,211398.341761259044,2.24957271032708214609880984772538397958E00,Long,17/06/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,UTIBANK,Axis Bank Ltd,INE238A01034,334887,692.962690598156,635.2,0,212720222.4,-19343974.166344668372,-8.3356133572351533914324443470316342993E00,Long,17/06/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,BAJAJ-AUTO,Bajaj Auto Ltd,INE917I01010,8336,4081.132545546646,3628.95,0,30250927.2,-3769393.699676841056,-1.1079829936914694174507711336359465784E01,Long,17/06/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,BAJAJFINSV,Bajaj Finserv Limited,INE918I01018,5831,11905.674448980964,11754.85,0,68542530.35,-879457.362008001084,-1.2668282643481271745330024645035891015E00,Long,17/06/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,BANKBARODA,Bank of Baroda,INE028A01039,1216,83.566017,95.05,3465.6,119046.4,13964.523328,1.37424079934311096818219779458915697753E01,Long,17/06/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,BERGEPAINT,Berger Paints India Ltd,INE463A01038,645,774.742838085271,560.75,0,361683.75,-138025.380564999795,-2.7621144406335018479160702663073198649E01,Long,17/06/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,BPCL,Bharat Petroleum Corporation Ltd,INE029A01011,62971,474.624593491717,301,0,18954271,-10933314.276766911207,-3.6581457402869925685104582753674186205E01,Long,17/06/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,CIPLA,Cipla Ltd,INE059A01026,34378,963.48481660867,914.75,0,31447275.5,-1675405.52537285726,-5.0581821081737071155025962443470772288E00,Long,17/06/2022
EQUITY,4810001,TRUE BEACON AIF-TRUE BEACON AIF SCHEME 1  ,DABUR,Dabur India Ltd,INE016A01026,822,580.75425903893,484.6,0,398341.2,-79038.80093000046,-1.6556789303285065004444698216801140839E01,Long,17/06/2022
